name,summary,causes,symptoms,home_care,alternative_names
Kuru,Kuru is a disease of the nervous system.,"Kuru is a very rare disease. It is caused by an infectious protein (prion) found in contaminated human brain tissue. Kuru is found among people from New Guinea who practiced a form of cannibalism in which they ate the brains of dead people as part of a funeral ritual. This practice stopped in 1960, but cases of kuru were reported for many years afterward because the disease has a long incubation period. The incubation period is the time it takes for symptoms to appear after being exposed to the agent that causes disease. Kuru causes brain and nervous system changes similar to Creutzfeldt-Jakob disease . Similar diseases appear in cows as bovine spongiform encephalopathy (BSE), also called mad cow disease. The main risk factor for kuru is eating human brain tissue, which can contain the infectious particles.","Symptoms of kuru include: Arm and leg pain Coordination problems that become severe Difficulty walking Headache Swallowing difficulty Tremors and muscle jerks Difficulty swallowing and being unable to feed oneself can lead to malnutrition or starvation. The average incubation period is 10 to 13 years, but incubation period of 50 years or even longer have also been reported.",,Prion disease - kuru
Kwashiorkor,Kwashiorkor is a form of malnutrition that occurs when there is not enough protein in the diet.,"Kwashiorkor is most common in areas where there is: Famine Limited food supply Low levels of education (when people do not understand how to eat a proper diet) This disease is more common in very poor countries. It may occur during: Drought or other natural disaster Political unrest These events often lead to a lack of food, causing malnutrition. Kwashiorkor is rare in children in the United States. There are only isolated cases. However, one government estimate suggests that as many as half of older age people living in nursing homes in the United States do not get enough protein in their diet. When kwashiorkor does occur in the United States, it is most often a sign of child abuse and severe neglect.",Symptoms include: Changes in skin pigment Decreased muscle mass Diarrhea Failure to gain weight and grow Fatigue Hair changes (change in color or texture) Increased and more severe infections due to damaged immune system Irritability Large belly that sticks out (protrudes) Lethargy or apathy Loss of muscle mass Rash (dermatitis) Shock (late stage) Swelling ( edema ),,Protein malnutrition; Protein-calorie malnutrition; Malignant malnutrition
Kyphoplasty,"Kyphoplasty is used to treat painful compression fractures in the spine. In a compression fracture, all or part of a spine bone collapses.",,,,Balloon kyphoplasty; Osteoporosis - kyphoplasty; Compression fracture - kyphoplasty
Kyphosis,Kyphosis is a curving of the spine that causes a bowing or rounding of the back. This leads to a hunchback or slouching posture.,"Kyphosis can occur at any age, although it is rare at birth. A type of kyphosis that occurs in young teens is known as Scheuermann disease. It is caused by the wedging together of several bones of the spine (vertebrae) in a row. The cause of this condition is unknown. Kyphosis can also occur in young teens who have cerebral palsy . In adults, kyphosis can be caused by: Degenerative diseases of the spine (such as arthritis or disk degeneration) Fractures caused by osteoporosis (osteoporotic compression fractures) Injury (trauma) Slipping of one vertebra forward on another ( spondylolisthesis ) Other causes of kyphosis include: Certain hormone ( endocrine ) diseases Connective tissue disorders Infection (such as tuberculosis ) Muscular dystrophy (group of inherited disorders that cause muscle weakness and loss of muscle tissue) Neurofibromatosis (disorder in which nerve tissue tumors form) Paget disease (disorder that involves abnormal bone destruction and regrowth) Polio Scoliosis (curving of the spine often looks like a C or S when viewed from behind) Spina bifida (birth defect in which the backbone and spinal canal don't close before birth) Tumors",Pain in the middle or lower back is the most common symptom. Other symptoms may include any of the following: Round back appearance Tenderness and stiffness in the spine Fatigue Difficulty breathing (in severe cases),,Scheuermann disease; Roundback; Hunchback; Postural kyphosis; Neck pain - kyphosis
Labyrinthitis,Labyrinthitis is irritation and swelling of the inner ear. It can cause vertigo and hearing loss.,"Labyrinthitis is usually caused by a virus and sometimes by bacteria. Having a cold or flu can trigger the condition. Less often, an ear infection may lead to labyrinthitis. Other causes include allergies or certain medicines that are bad for the inner ear. Your inner ear is important for both hearing and balance. When you have labyrinthitis, the parts of your inner ear become irritated and swollen. This can make you lose your balance and cause hearing loss. These factors raise your risk for labyrinthitis: Drinking large amounts of alcohol Fatigue History of allergies Recent viral illness, respiratory infection , or ear infection Smoking Stress Using certain prescription or nonprescription medicines (such as aspirin)","Symptoms may include any of the following: Feeling like you are spinning, even when you are still ( vertigo ). Your eyes moving on their own, making it hard to focus them. Dizziness. Hearing loss in one ear. Loss of balance -- you may fall toward one side. Nausea and vomiting. Ringing or other noises in your ears ( tinnitus ).",,Bacterial labyrinthitis; Serous labyrinthitis; Neuronitis - vestibular; Vestibular neuronitis; Viral neurolabyrinthitis; Vestibular neuritis; Labyrinthitis - vertigo: Labyrinthitis - dizziness; Labyrinthitis - vertigo; Labyrinthitis - hearing loss
Lacquer poisoning,Lacquer is a clear or colored coating (called a varnish) that is often used to give wooden surfaces a glossy look. Lacquer is dangerous to swallow. Breathing in the fumes for a long period is also harmful.,,"Lacquer poisoning can cause symptoms in many parts of the body. AIRWAYS AND LUNGS Breathing difficulty (from inhalation) Throat swelling (may also cause breathing difficulty) BLADDER AND KIDNEYS Blood in urine No urine production (kidney failure) EYES, EARS, NOSE, AND THROAT Severe pain in the throat Severe pain or burning in the nose, eyes, ears, lips, or tongue Vision loss STOMACH AND INTESTINES Abdominal pain -- severe Bloody stools Burns and possible holes of the esophagus (food pipe) Vomiting, possibly bloody HEART AND BLOOD Collapse Low blood pressure -- develops rapidly ( shock ) NERVOUS SYSTEM Coma (decreased level of consciousness and lack of responsiveness) Brain damage Sleepiness Stupor (decreased awareness, sleepiness, confusion) SKIN Burns Irritation Necrosis (holes) in the skin or underlying tissues","Get medical help right away. DO NOT make a person throw up unless told to do so by poison control or a health care provider. If the chemical was swallowed, immediately give the person water, unless instructed otherwise by poison control or a provider. If the person breathed in the poison, immediately move them to fresh air.",
Lacrimal gland tumor,A lacrimal gland tumor is a tumor in one of the glands that produces tears. The lacrimal gland is located under the outer part of each eyebrow. Lacrimal gland tumors can be harmless (benign) or cancerous (malignant). About half of lacrimal gland tumors are benign. Some masses in the lacrimal gland are not really tumors but may be due to inflammation or overgrowth of lymphoid tissue.,,Symptoms may include: Double vision Fullness in one eyelid or the side of the face Pain,,
Lactate dehydrogenase test,Lactate dehydrogenase (LDH) is a protein that helps produce energy in the body. An LDH test measures the amount of LDH in the blood.,,,,LDH test; Lactic acid dehydrogenase test
Lactic acid test,Lactic acid is mainly produced in muscle cells and red blood cells. It forms when the body breaks down carbohydrates to use for energy when oxygen levels are low. Times when your body's oxygen level might drop include:,,,,Lactate test
Lactic acidosis,Lactic acidosis refers to lactic acid build up in the bloodstream. Lactic acid is produced when oxygen levels become low in cells within the areas of the body where metabolism takes place or in response to sympathetic overactivity related to epinephrine-type substances or exercise.,"The most common cause of lactic acidosis is severe medical illness in which blood pressure is low and too little oxygen is reaching the body's tissues. Intense exercise or convulsions can cause temporary lactic acidosis. Certain diseases can also cause the condition, including: AIDS Alcoholism Cancer Cirrhosis Cyanide poisoning Kidney failure Respiratory failure Sepsis (severe infection) Some medicines can rarely cause lactic acidosis: Beta adrenergic agonist inhalers used to treat asthma or COPD (albuterol and salmeterol) Epinephrine Linezolid Metformin, used to treat diabetes (most often when overdosed) Nucleoside reverse transcriptase inhibitors used to treat HIV infection Propofol",Symptoms may include: Nausea Vomiting Weakness,,
Lactose intolerance,Lactose is a type of sugar found in milk and other dairy products. An enzyme called lactase is needed by the body to digest lactose.,"Babies' bodies make the lactase enzyme so they can digest milk, including breast milk. Babies born too early (premature) sometimes have lactose intolerance. Children who were born at full term often do not show signs of the problem before they are 3 years old. Lactose intolerance is very common in adults. It is rarely dangerous. About 30 million American adults have some degree of lactose intolerance by age 20. In white people, lactose intolerance often develops in children older than age 5. This is the age when our bodies may stop making lactase. In African Americans, the problem can occur as early as age 2. The condition is very common among adults with Asian, African, or Native American heritage. It is less common in people of northern or western European background, but still may occur. An illness that involves or injures your small intestine may cause less of the lactase enzyme to be made. Treatment of these illnesses may improve the symptoms of lactose intolerance. These may include: Surgery of the small intestine Infections in the small intestine (this is most often seen in children) Diseases that damage the small intestines, such as celiac disease or Crohn disease Any illness that causes diarrhea Babies may be born with a genetic variant, which may make them unable to make any of the lactase enzyme.",Symptoms often occur 30 minutes to 2 hours after having milk products. Symptoms may be worse when you consume large amounts. Symptoms include: Abdominal bloating Abdominal cramps Diarrhea Gas ( flatulence ) Nausea,,Lactase deficiency; Milk intolerance; Disaccharidase deficiency; Dairy product intolerance; Diarrhea - lactose intolerance; Bloating - lactose intolerance
Lactose tolerance tests,"Lactose tolerance tests measure the ability of your intestines to break down a type of sugar called lactose. This sugar is found in milk and other dairy products. If your body cannot break down this sugar, you are said to have lactose intolerance. This can cause gassiness, abdominal pain, cramps, and diarrhea.",,,,Hydrogen breath test for lactose tolerance
Lambert-Eaton myasthenic syndrome,Lambert-Eaton myasthenic syndrome (LEMS) is a rare disorder in which faulty communication between nerves and muscles leads to muscle weakness.,"LEMS is an autoimmune disorder . This means your immune system mistakenly targets healthy cells and tissues in the body. With LEMS, antibodies produced by the immune system attack nerve cells. This makes nerves cells unable to release enough of a chemical called acetylcholine. This chemical transmits impulses between nerves and muscles. The result is muscle weakness. LEMS may occur with cancers such as small cell lung cancer or autoimmune disorders such as vitiligo , which leads to a loss of skin pigment. LEMS affects men more often than women. The most common age of occurrence is around age 60 years. LEMS is rare in children.","Weakness or loss of movement that can be more or less severe, including: Difficulty climbing stairs, walking, or lifting things Muscle pain Drooping of the head The need to use the hands to get up from a sitting or lying position Problems talking Problems chewing or swallowing, which may include gagging or choking Vision changes, such as blurry vision , double vision, and problem keeping a steady gaze Weakness is generally mild in LEMS. Leg muscles are mostly affected. Weakness may improve after exercise, but continuous exertion causes fatigue in some cases. Symptoms related to the other parts of the nervous system often occur, and may include: Blood pressure changes Dizziness upon standing Dry mouth Erectile dysfunction Dry eyes Constipation Decreased sweating",,Myasthenic syndrome; Eaton-Lambert syndrome; Lambert-Eaton syndrome; LES
Lamellar ichthyosis,Lamellar ichthyosis (LI) is a rare skin condition. It appears at birth and continues throughout life.,LI is an autosomal recessive disease . This means that the mother and father must both pass one abnormal copy of the disease gene to their child in order for the child to develop the disease.,"Many babies with LI are born with a clear, shiny, waxy layer of skin called a collodion membrane. For this reason, these babies are known as collodion babies. The membrane sheds within the first 2 weeks of life. The skin underneath the membrane is red and scaly resembling the surface of a fish. With LI, the outer layer of skin called the epidermis cannot protect the body like the healthy epidermis can. As a result, a baby with LI may have the following health problems: Difficulty in feeding Loss of fluid ( dehydration ) Loss of balance of minerals in the body ( electrolyte imbalance) Breathing problems Body temperature that is not stable Skin or body-wide infections Older children and adults with LI may have these symptoms: Giant scales that cover most of the body Decreased ability to sweat, causing sensitivity to heat Hair loss Abnormal finger and toenails Skin of the palms and soles is thickened",,LI; Collodion baby - lamellar ichthyosis; Ichthyosis congenital; Autosomal recessive congenital ichthyosis - lamellar ichthyosis type
Laminectomy,Laminectomy is surgery to remove the lamina. This is part of the bone that makes up a vertebra in the spine. Laminectomy may also be done to remove bone spurs or a herniated (slipped) disk in your spine. The procedure can take pressure off your spinal nerves or spinal cord.,,,,Lumbar decompression; Decompressive laminectomy; Spine surgery - laminectomy; Back pain - laminectomy; Stenosis - laminectomy
Language disorders in children,Language disorders in children are problems with the development of language skills.,"Most infants and children develop language naturally starting at birth. To develop language, a child must be able to hear, see, understand, and remember. Children must also be physically able to form speech. Up to 1 of every 14 children has symptoms of a language disorder. When the cause is unknown, it is called a developmental language disorder. Problems with receptive language skills usually begin before age 4. Some mixed language disorders are caused by a brain injury. These conditions are sometimes misdiagnosed as developmental disorders. Language disorders may occur in children with: Other developmental problems Autism spectrum disorder Hearing loss Learning disabilities Damage to the central nervous system, which is called aphasia Language disorders are rarely caused by a lack of intelligence. Language disorders are not the same as delayed language. With delayed language, the child develops speech and language in the same way as other children, but later. In language disorders, speech and language do not develop normally. The child may have some language skills, but not others. Or, the way in which these skills develop will be different than usual.","Children with language disorders may have one, two, or many of the symptoms listed below. Symptoms can range from mild to severe. Children with a receptive language disorder have problems understanding language. They may have: A hard time understanding what other people have said Problems following directions that are spoken to them Problems organizing their thoughts Children with an expressive language disorder have problems using language to express what they are thinking or need. These children may: Have a hard time putting words together into sentences Use short and simple sentences and the word order may be off Have difficulty finding the right words when talking, and often use placeholder words such as ""um"" Have a vocabulary that is below the level of other children the same age Leave words out of sentences when talking Use certain phrases over and over again, and repeat (echo) parts or all of questions Use tenses (past, present, future) improperly Children with language problems may have difficulty in social settings. At times, language disorders may be part of the cause of severe behavioral problems.",,Developmental aphasia; Developmental dysphasia; Delayed language; Specific developmental language disorder; SLI; Communication disorder - language disorder
Lanolin poisoning,Lanolin is an oily substance taken from sheep's wool. Lanolin poisoning occurs when someone swallows a product that contains lanolin.,,"Symptoms of lanolin poisoning include: Diarrhea Rash Swelling and redness of skin Vomiting Symptoms of allergic reactions may include: Eye, lip, mouth, and throat swelling Rash Shortness of breath",Seek medical help right away. Do not make the person throw up unless poison control or a health care provider tells you to.,Wool wax poisoning; Wool alcohol poisoning; Glossylan poisoning; Golden dawn poisoning; Sparklelan poisoning
Laparoscopic gallbladder removal,Laparoscopic gallbladder removal is surgery to remove the gallbladder using a medical device called a laparoscope.,,,,Cholecystectomy - laparoscopic; Gallbladder - laparoscopic surgery; Gallstones - laparoscopic surgery; Cholecystitis - laparoscopic surgery
Laparoscopic gastric banding,Laparoscopic gastric banding is surgery to help with weight loss. The surgeon places a band around the upper part of your stomach to create a small pouch to hold food. The band limits the amount of food you can eat by making you feel full after eating small amounts of food.,,,,Lap-Band; LAGB; Laparoscopic adjustable gastric banding; Bariatric surgery - laparoscopic gastric banding; Obesity - gastric banding; Weight loss - gastric banding
Large bowel resection,Large bowel resection is surgery to remove all or part of your large bowel. This surgery is also called colectomy. The large bowel is also called the large intestine or colon.,,,,Ascending colectomy; Descending colectomy; Transverse colectomy; Right hemicolectomy; Left hemicolectomy; Low anterior resection; Sigmoid colectomy; Subtotal colectomy; Proctocolectomy; Colon resection; Laparoscopic colectomy; Colectomy - partial; Abdominal perineal resection
Large for gestational age (LGA),Large for gestational age means that a fetus or infant is larger or more developed than normal for the baby's gestational age. Gestational age is the age of a fetus or baby that starts on the first day of the mother's last menstrual period.,,,,
Laryngeal nerve damage,Laryngeal nerve damage is injury to one or both of the nerves that cause the voice box to function.,"Injury to the laryngeal nerves is uncommon. When it does occur, it can be from: A complication of neck or chest surgery (especially thyroid, lung, heart surgery, or cervical spine surgery) A breathing tube in the windpipe (endotracheal tube) A viral infection that affects the nerves Tumors in the neck or upper chest, such as thyroid or lung cancer A neurological condition Neck or chest trauma",Symptoms include: Difficulty speaking Difficulty swallowing Hoarseness Injury to the left and right laryngeal nerves at the same time can cause a breathing problem. This can be an urgent medical problem.,,Vocal cord paralysis
Laryngectomy,Laryngectomy is surgery to remove all or part of the larynx (voice box).,,,,Complete laryngectomy; Total laryngectomy; Partial laryngectomy
Laryngitis,Laryngitis is swelling and irritation (inflammation) of the voice box (larynx). The problem is most often associated with hoarseness or loss of voice.,"The voice box (larynx) is located at the top of the airway to the lungs (trachea). The larynx contains the vocal cords. When the vocal cords become inflamed or infected, they swell. This can cause hoarseness. Sometimes, the airway can get blocked. The most common form of laryngitis is an infection caused by a virus. It may also be caused by: Allergies Bacterial infection Bronchitis Gastroesophageal reflux disease (GERD) Injury Irritants and chemicals Laryngitis often occurs with an upper respiratory infection , which is typically caused by a virus. Several forms of laryngitis occur in children that can lead to a dangerous or fatal respiratory blockage. These forms include: Croup Epiglottitis",Symptoms may include: Fever Hoarseness Swollen lymph nodes or glands in the neck,,Hoarseness - laryngitis
Laryngoscopy and nasolaryngoscopy,"Laryngoscopy is an exam of the back of your throat, including your voice box (larynx). Your voice box contains your vocal cords and allows you to speak.",,,,Laryngopharyngoscopy; Indirect laryngoscopy; Flexible laryngoscopy; Mirror laryngoscopy; Direct laryngoscopy; Fiberoptic laryngoscopy; Laryngoscopy using strobe (laryngeal stroboscopy)
Laser photocoagulation - eye,"Laser photocoagulation is eye surgery using a laser to shrink or destroy abnormal structures in the retina, or to intentionally cause scarring that can help certain eye conditions.",,,,Laser coagulation; Laser eye surgery; Photocoagulation; Laser photocoagulation - diabetic eye disease; Laser photocoagulation - diabetic retinopathy; Focal photocoagulation; Scatter (or pan retinal) photocoagulation; Proliferative retinopathy - laser; PRP - laser; Grid pattern photocoagulation - laser
Laser surgery for the skin,Laser surgery uses laser energy to treat the skin. Laser surgery can be used to treat skin diseases or cosmetic concerns such as sunspots or wrinkles.,,,,Surgery using a laser
Laser therapy,"Laser therapy is a medical treatment that uses a strong beam of light to cut, burn, or destroy tissue. The term LASER stands for light amplification by stimulated emission of radiation.",,,,
LASIK eye surgery,LASIK is eye surgery that permanently changes the shape of the cornea (the clear covering on the front of the eye). It is done to improve vision and reduce a person's need for glasses or contact lenses.,,,,Laser-Assisted In Situ Keratomileusis; Laser vision correction; Nearsightedness - Lasik; Myopia - Lasik; Farsightedness - Lasik; Hyperopia - Lasik
Lateral,"Lateral means to the side of, or away from, the middle of the body.",,,,
Lateral traction,Lateral traction is a treatment technique in which weight or tension is used to move a body part to the side or away from its original location.,,,,
Latex agglutination test,"The latex agglutination test is a test done in a lab to check for certain antibodies or antigens in body fluids including saliva, urine, cerebrospinal fluid, or blood.",,,,
Lavender oil,Lavender oil is an oil made from the flowers of lavender plants. Lavender poisoning can occur when someone swallows large amounts of lavender oil. This can be by accident or on purpose.,,"Symptoms of lavender oil poisoning include: Blurred vision Difficulty breathing Burning pain in the throat Burns to the eye (if you get it in your eye) Confusion Decreased level of consciousness Diarrhea (watery, bloody) Stomach pain Vomiting Rash","Seek medical help right away. DO NOT make the person throw up unless poison control or a health care provider tells you to. If the chemical was swallowed, give the person water or milk right away, if a provider tells you to do so. DO NOT give anything to drink if the person has symptoms that make it hard to swallow. These include vomiting, convulsions, or a decreased level of alertness.",
Laxative overdose,A laxative is a medicine used to produce bowel movements. Laxative overdose occurs when someone takes more than the normal or recommended amount of this medicine. This can be by accident or on purpose.,,"Nausea, vomiting, abdominal cramping, and diarrhea are the most common symptoms of a laxative overdose. Dehydration and electrolyte (body chemicals and minerals) imbalance are more common in children than adults. Below are symptoms specific to the actual product. Bisacodyl: Cramps Diarrhea Senna; Cascara sagrada: Abdominal pain Bloody stools Collapse Diarrhea Phenolphthalein: Abdominal pain Collapse Diarrhea Dizziness Drop in blood pressure Low blood sugar Rash Sodium phosphate: Abdominal pain Collapse Diarrhea Muscle weakness Vomiting Magnesium-containing products: Abdominal pain Collapse Coma Death Diarrhea (watery) Drop in blood pressure Flushing Gastrointestinal irritation Muscle weakness Painful bowel movements Painful urination Slowed breathing Thirst Vomiting Castor oil can cause gastrointestinal irritation. Mineral oil can cause aspiration pneumonia, a condition where vomited stomach contents are inhaled into the lungs. Products containing methylcellulose, carboxymethylcellulose, polycarbophil, or psyllium may cause choking or intestinal blockage if they are not taken with plenty of fluids.",Seek medical help right away. DO NOT make a person throw up unless poison control or a health care provider tells you to.,Laxative abuse
LDH isoenzyme blood test,"The lactate dehydrogenase (LDH) isoenzyme test checks how much of the different types of LDH, called isoenzymes, are present in the blood.",,,,LD; LDH; Lactic (lactate) dehydrogenase isoenzymes
LDL test,The low-density lipoprotein (LDL) test is a blood test to measure the amount of LDL cholesterol in your blood. LDL is a type of fat (lipid) in your blood.,,,,LDL cholesterol; Low-density lipoprotein LDL cholesterol levels
Lead - nutritional considerations,Nutritional considerations to reduce the risk of lead poisoning.,,,,Lead poisoning - nutritional considerations; Toxic metal - nutritional considerations
Lead and tap water,"The Safe Drinking Water Act requires the Environmental Protection Agency (EPA) to set and enforce standards to protect public drinking water systems. In the United States, the EPA set the maximum allowable concentration of lead in public drinking water at 15 mcg/L (micrograms per liter).",,,,
Lead levels - blood,Blood lead level is a test that measures the amount of lead in the blood.,,,,Blood lead levels
Lead poisoning,"Lead is a very strong poison. When a person swallows an object that has lead in it or breathes in lead dust, some of the poison can stay in the body and cause serious health problems.",,"There are many possible symptoms of lead poisoning. Lead can affect many different parts of the body. A single high dose of lead can cause severe emergency symptoms. However, it is more common for lead poisoning to occur slowly over time. This results from repeated exposure to small amounts of lead. In this case, there may not be any obvious symptoms. Over time, even low levels of lead exposure can harm a child's mental development. The health problems get worse as the level of lead in the blood gets higher. Lead is much more harmful to children than adults because it can affect children's developing nerves and brains. The younger the child, the more harmful lead can be. Unborn children are the most vulnerable. Possible complications include: Behavior or attention problems Failure at school Hearing problems Kidney damage Reduced IQ Slowed body growth The symptoms of lead poisoning may include: Abdominal pain and cramping (usually the first sign of a high, toxic dose of lead) Aggressive behavior Anemia (low red blood cell count) Constipation Difficulty getting pregnant Difficulty sleeping Headaches Hearing loss Irritability Loss of previous developmental skills (in young children) Low appetite and energy Reduced sensations Very high levels of lead may cause vomiting, internal bleeding, staggering walk, muscle weakness, seizures , or coma.","You can reduce exposure to lead with the following steps: If you suspect you may have lead paint in your house, get advice on safe removal from the National Lead Information Center -- www.epa.gov/lead at (800) 424-5323. Keep your home as dust-free as possible. Have everyone wash their hands before eating. Throw out old painted toys if you do not know whether the paint contains lead. Let tap water run for a minute before drinking or cooking with it. If your water has tested high in lead, consider installing an effective filtering device or switch to bottled water for drinking and cooking. Avoid canned goods from foreign countries until the ban on lead soldered cans goes into effect. If imported wine containers have a lead foil wrapper, wipe the rim and neck of the bottle with a towel moistened with lemon juice, vinegar, or wine before using. DO NOT store wine, spirits, or vinegar-based salad dressings in lead crystal decanters for long periods of time, because lead can get into the liquid.",Plumbism
Learn to manage stress,We all feel stress at one time or another. It's a normal and healthy reaction to change or a challenge. But stress that goes on for more than a few weeks can affect your health. Keep stress from making you sick by learning healthy ways to manage it.,,,,Stress - managing; Stress - recognizing; Stress - relaxation techniques
Left heart catheterization,Left heart catheterization is the passage of a thin flexible tube (catheter) into the left side of the heart. It is done to diagnose or treat certain heart problems.,,,,Catheterization - left heart
Left heart ventricular angiography,Left heart ventricular angiography is a procedure to look at the left-sided heart chambers and the function of the left-sided valves. It is sometimes combined with coronary angiography.,,,,Angiography - left heart; Left ventriculography
Leg CT scan,A computed tomography (CT) scan of the leg makes cross-sectional pictures of the leg. It uses x-rays to create the images.,,,,CAT scan - leg; Computed axial tomography scan - leg; Computed tomography scan - leg; CT scan - leg
Leg lengthening and shortening,Leg lengthening and shortening are types of surgery to treat some people who have legs of unequal lengths.,,,,Epiphysiodesis; Epiphyseal arrest; Correction of unequal bone length; Bone lengthening; Bone shortening; Femoral lengthening; Femoral shortening
Leg MRI scan,"A leg MRI (magnetic resonance imaging) scan of the leg uses strong magnets to create pictures of the leg. This may include the ankle, foot, and surrounding tissues.",,,,MRI - lower extremity; Magnetic resonance imaging - leg; Magnetic resonance imaging - lower extremity; MRI - ankle; Magnetic resonance imaging - ankle; MRI - femur; MRI - leg
Leg or foot amputation,"Leg or foot amputation is the removal of a leg, foot or toes from the body. These body parts are called extremities. Amputations are done either by surgery or they occur by accident or trauma to the body.",,,,Amputation - foot; Amputation - leg; Trans-metatarsal amputation; Below knee amputation; BK amputation; Above knee amputation; AK amputation; Trans-femoral amputation; Trans-tibial amputation
Leg pain,"Leg pain is a common problem. It can be due to a cramp, injury, or other cause.","Leg pain can be due to a muscle cramp (also called a charley horse ). Common causes of cramps include: Dehydration or low amounts of potassium, sodium, calcium, or magnesium in the blood Medicines (such as diuretics and statins) Muscle fatigue or strain from overuse, too much exercise, or holding a muscle in the same position for a long time An injury can also cause leg pain from: A torn or overstretched muscle ( strain ) Hairline crack in the bone (stress fracture) Inflamed tendon ( tendinitis ) Shin splints (pain in the front of the leg from overuse) Other common causes of leg pain include: Peripheral artery disease (PAD) , which causes a problem with blood flow in the legs (this type of pain, called claudication, is generally felt when exercising or walking and is relieved by rest) Blood clot ( deep vein thrombosis ), which is sometimes from long-term bed rest but can also occur for no reason Infection of the bone ( osteomyelitis ) or skin and soft tissue ( cellulitis ) Inflammation of the leg joints caused by arthritis or gout Nerve damage common to people with diabetes, smokers, and people who consume too much alcohol Varicose veins Less common causes include: Cancerous bone tumors ( osteosarcoma , Ewing sarcoma, cancer that has spread to the bone from elsewhere in the body) Legg-Calve-Perthes disease -- poor blood flow to the hip that may stop or slow the normal growth of the leg Noncancerous (benign) tumors or cysts of the femur or tibia (osteoid osteoma) Sciatic nerve pain (radiating pain down the leg) caused by a slipped disk in the back Slipped capital femoral epiphysis -- most often seen in boys and overweight children age 11 to 15",,"If you have leg pain from cramps or overuse, take these steps first: Rest as much as possible. Elevate your leg. Apply ice for up to 15 minutes. Do this 4 times per day, more often for the first few days. Gently stretch and massage cramping muscles. Take over-the-counter pain medicines such as acetaminophen (Tylenol) or ibuprofen (Advil, Motrin). Other homecare will depend on the cause of your leg pain.",Pain - leg; Aches - leg; Cramps - leg
Legg-Calve-Perthes disease,"Legg-Calve-Perthes disease occurs when the ball of the thigh bone in the hip does not get enough blood, causing the bone to die.","Legg-Calve-Perthes disease usually occurs in boys 4 through 11 years old. There are many theories about the cause of this disease, but little is actually known. Without enough blood to the area, the bone dies. The ball of the hip collapses and becomes flat. Most often, only one hip is affected, although it can occur on both sides. The blood supply returns over several months, bringing in new bone cells. The new cells gradually replace the dead bone over 2 to 3 years.","The first symptom is often limping, which is usually painless. Sometimes there may be mild pain that comes and goes. Other symptoms may include: Hip stiffness that limits hip movement Knee pain Limited range of motion Thigh or groin pain that does not go away Shortening of the leg, or legs of unequal length Muscle loss in the upper thigh",,Coxa plana; Perthes disease
Legionnaires disease,Legionnaires disease is an infection of the lungs and airways. It is caused by Legionella bacteria.,"The bacteria that cause Legionnaires disease have been found in water delivery systems. They can survive in the warm, moist air conditioning systems of large buildings, including hospitals. Most cases are caused by the bacteria Legionella pneumophila . The rest of the cases are caused by other Legionella species. Spread of the bacteria from person to person has not been proven. Most infections occur in middle-aged or older people. In rare cases, children can get the infection. When they do, the disease is less severe. Risk factors include: Alcohol use Cigarette smoking Chronic illnesses, such as kidney failure or diabetes Long-term (chronic) lung disease, such as COPD Long-term use of a breathing machine (ventilator) Medicines that suppress the immune system, including chemotherapy and steroid drugs Older age","Symptoms tend to get worse during the first 4 to 6 days. They most often improve in another 4 to 5 days. Symptoms may include: General discomfort, loss of energy, or ill feeling (malaise) Headache Fever, shaking chills Joint pain, muscle aches and stiffness Chest pain Cough that does not produce much sputum or mucus (dry cough) Coughing up blood (rare) Diarrhea, nausea, vomiting, and abdominal pain Shortness of breath",,Legionella pneumonia; Pontiac fever; Legionellosis; Legionella pneumophila; Legionnaires' disease
Leishmaniasis,Leishmaniasis is an infectious disease spread by the bite of the female sandfly.,"Leishmaniasis is caused by a tiny parasite called leishmania protozoa. Protozoa are one-celled organisms. The different forms of leishmaniasis are: Cutaneous leishmaniasis affects the skin and mucous membranes. Skin sores usually start at the site of the sandfly bite. In a few people, sores may develop on mucous membranes. Systemic, or visceral, leishmaniasis affects the entire body. This form occurs 2 to 8 months after a person is bitten by the sandfly. Most people do not remember having a skin sore. This form can lead to deadly complications. The parasites damage the immune system by decreasing the numbers of disease-fighting cells. Cases of leishmaniasis have been reported on all continents except Australia and Antarctica. In the Americas, the disease can be found in Mexico and South America. It has also been reported in military personnel who have returned from the Persian Gulf.","Symptoms of cutaneous leishmaniasis depend on where the lesions are located and may include: Breathing difficulty Skin sores, which may become a skin ulcer that heals very slowly Stuffy nose, runny nose, and nosebleeds Swallowing difficulty Ulcers and wearing away (erosion) in the mouth, tongue, gums, lips, nose, and inner nose Systemic visceral infection in children usually begins suddenly with: Cough Diarrhea Fever Vomiting Adults usually have a fever for 2 weeks to 2 months, along with symptoms such as fatigue , weakness , and appetite loss. Weakness increases as the disease gets worse. Other symptoms of systemic visceral leishmaniasis may include: Abdominal discomfort Fever that lasts for weeks; may come and go in cycles Night sweats Scaly, gray, dark, ashen skin Thinning hair Weight loss",,Kala-azar; Cutaneous leishmaniasis; Visceral leishmaniasis; Old world leishmaniasis; New world leishmaniasis
Lepromin skin test,The lepromin skin test is used to determine what type of leprosy a person has.,,,,Leprosy skin test; Hansen disease - skin test
